time,receive,transmit
2025-07-25 22:30:17,0,0
2025-07-25 22:30:16,0,0
2025-07-25 22:30:15,0,0
2025-07-25 22:30:14,0,0
2025-07-25 22:30:13,0,0
2025-07-25 22:30:12,0,0
2025-07-25 22:30:11,0,0
2025-07-25 22:30:10,0,0
2025-07-25 22:30:09,0,0
2025-07-25 22:30:08,0,0
2025-07-25 22:30:07,0,0
2025-07-25 22:30:06,0,0
2025-07-25 22:30:05,0,0
2025-07-25 22:30:04,0,0
2025-07-25 22:30:03,0,0
2025-07-25 22:30:02,0,0
2025-07-25 22:30:01,0,0
2025-07-25 22:30:00,0,0
2025-07-25 22:29:59,0,0
2025-07-25 22:29:58,0,0
2025-07-25 22:29:57,0,0
2025-07-25 22:29:56,0,0
2025-07-25 22:29:55,0,0
2025-07-25 22:29:54,0,0
2025-07-25 22:29:53,0,0
2025-07-25 22:29:52,0,0
2025-07-25 22:29:51,0,0
2025-07-25 22:29:50,0,0
2025-07-25 22:29:49,0,0
2025-07-25 22:29:48,0,0
2025-07-25 22:29:47,0,0
2025-07-25 22:29:46,0,0
2025-07-25 22:29:45,0,0
2025-07-25 22:29:44,0,0
2025-07-25 22:29:43,0,0
2025-07-25 22:29:42,0,0
2025-07-25 22:29:41,0,0
2025-07-25 22:29:40,0,0
2025-07-25 22:29:39,0,0
2025-07-25 22:29:38,0,0
2025-07-25 22:29:37,0,0
2025-07-25 22:29:36,0,0
2025-07-25 22:29:35,0,0
2025-07-25 22:29:34,0,0
2025-07-25 22:29:33,0,0
