time,inbound,outbound
2025-07-25 22:21:06,0,0
2025-07-25 22:21:05,0,0
2025-07-25 22:21:04,0,0
2025-07-25 22:21:03,0,0
2025-07-25 22:21:02,0,0
2025-07-25 22:21:01,0,0
2025-07-25 22:21:00,0,0
2025-07-25 22:20:59,0,0
2025-07-25 22:20:58,0,0
2025-07-25 22:20:57,0,0
2025-07-25 22:20:56,0,0
2025-07-25 22:20:55,0,0
2025-07-25 22:20:54,0,0
2025-07-25 22:20:53,0,0
2025-07-25 22:20:52,0,0
2025-07-25 22:20:51,0,0
2025-07-25 22:20:50,0,0
2025-07-25 22:20:49,0,0
2025-07-25 22:20:48,0,0
2025-07-25 22:20:47,0,0
2025-07-25 22:20:46,0,0
2025-07-25 22:20:45,0,0
2025-07-25 22:20:44,0,0
2025-07-25 22:20:43,0,0
2025-07-25 22:20:42,0,0
2025-07-25 22:20:41,0,0
2025-07-25 22:20:40,0,0
2025-07-25 22:20:39,0,0
2025-07-25 22:20:38,0,0
2025-07-25 22:20:37,0,0
2025-07-25 22:20:36,0,0
2025-07-25 22:20:35,0,0
2025-07-25 22:20:34,0,0
2025-07-25 22:20:33,0,0
2025-07-25 22:20:32,0,0
2025-07-25 22:20:31,0,0
2025-07-25 22:20:30,0,0
2025-07-25 22:20:29,0,0
2025-07-25 22:20:28,0,0
2025-07-25 22:20:27,0,0
2025-07-25 22:20:26,0,0
2025-07-25 22:20:25,0,0
2025-07-25 22:20:24,0,0
2025-07-25 22:20:23,0,0
2025-07-25 22:20:22,0,0
2025-07-25 22:20:21,0,0
