time,read,write
2025-07-25 22:25:57,0,0
2025-07-25 22:25:56,0,0
2025-07-25 22:25:55,0,0
2025-07-25 22:25:54,0,0
2025-07-25 22:25:53,0,0
2025-07-25 22:25:52,0,0
2025-07-25 22:25:51,0,0
2025-07-25 22:25:50,0,0
2025-07-25 22:25:49,0,0
2025-07-25 22:25:48,0,0
2025-07-25 22:25:47,0,0
2025-07-25 22:25:46,0,0
2025-07-25 22:25:45,0,0
2025-07-25 22:25:44,0,0
2025-07-25 22:25:43,0,0
2025-07-25 22:25:42,0,0
2025-07-25 22:25:41,0,0
2025-07-25 22:25:40,0,0
2025-07-25 22:25:39,0,0
2025-07-25 22:25:38,0,0
2025-07-25 22:25:37,0,0
2025-07-25 22:25:36,0,0
2025-07-25 22:25:35,0,0
2025-07-25 22:25:34,0,0
2025-07-25 22:25:33,0,0
2025-07-25 22:25:32,0,0
2025-07-25 22:25:31,0,0
2025-07-25 22:25:30,0,0
2025-07-25 22:25:29,0,0
2025-07-25 22:25:28,0,0
2025-07-25 22:25:27,0,0
2025-07-25 22:25:26,0,0
2025-07-25 22:25:25,0,0
2025-07-25 22:25:24,0,0
2025-07-25 22:25:23,0,0
2025-07-25 22:25:22,0,0
2025-07-25 22:25:21,0,0
2025-07-25 22:25:20,0,0
2025-07-25 22:25:19,0,0
2025-07-25 22:25:18,0,0
2025-07-25 22:25:17,0,0
2025-07-25 22:25:16,0,0
2025-07-25 22:25:15,0,0
2025-07-25 22:25:14,0,0
2025-07-25 22:25:13,0,0
2025-07-25 22:25:12,0,0
2025-07-25 22:25:11,0,0
2025-07-25 22:25:10,0,0
