time,pgfault,swap
2025-07-25 22:44:29,0,0
2025-07-25 22:44:28,0,0
2025-07-25 22:44:27,0,0
2025-07-25 22:44:26,0,0
2025-07-25 22:44:25,0,0
2025-07-25 22:44:24,0,0
2025-07-25 22:44:23,0,0
2025-07-25 22:44:22,0,0
2025-07-25 22:44:21,0,0
2025-07-25 22:44:20,0,0
2025-07-25 22:44:19,0,0
2025-07-25 22:44:18,0,0
2025-07-25 22:44:17,0,0
2025-07-25 22:44:16,0,0
2025-07-25 22:44:15,0,0
2025-07-25 22:44:14,0,0
2025-07-25 22:44:13,0,0
2025-07-25 22:44:12,0,0
2025-07-25 22:44:11,0,0
2025-07-25 22:44:10,0,0
2025-07-25 22:44:09,0,0
2025-07-25 22:44:08,0,0
2025-07-25 22:44:07,0,0
2025-07-25 22:44:06,0,0
2025-07-25 22:44:05,0,0
2025-07-25 22:44:04,0,0
2025-07-25 22:44:03,0,0
2025-07-25 22:44:02,0,0
2025-07-25 22:44:01,0,0
2025-07-25 22:44:00,0,0
2025-07-25 22:43:59,0,0
2025-07-25 22:43:58,0,0
2025-07-25 22:43:57,0,0
2025-07-25 22:43:56,0,0
2025-07-25 22:43:55,0,0
2025-07-25 22:43:54,0,0
2025-07-25 22:43:53,0,0
